2E0AGB,Allen
DL4BBH,Friedrich dlff-0134
DL4BCD,Juergen
DL4BCJ,Hans-Juergen
DL4BQL,Wolfgang
DL4CF,Joerg
DL4CW,Bernhard
DL4DG,Josef
DL4DQA,Hans-Juergen
DL4DZL,Manfred
DL4EAM,Wolfgang DLFF-0110
DL4EAX,Michael
DL4EPM,Vladimir
DL4FAP,Horst
DL4FAT,Wolfgang
DL4FCH,Peter
DL4FCK,Gerd
DL4FDM,Fritz Zwingli
DL4FF,Vaclav
DL4FO,Christian
DL4HCF,Hubert
DL4HG,Olaf
DL4HRH,Karl-Heinz
DL4HRM,Robert (bob) 
DL4IA,Bernd
DL4IAL,Uwe
DL4JAL,Andreas
DL4KAG,Reiner
DL4KCA,Joe
DL4KE,Juergen
DL4LA,Juergen
DL4MA,Bernd
DL4MBE,Jakob
DL4MCA,Rainer
DL4MFF,Nikolaus (Nick)
DL4MFM,Mario
DL4MFR,Hans-ulrich
DL4MHA,Wolfgang
DL4MO,Lothar
DL4NBE,Leo
DL4NV,Peter
DL4OCE,Arne
DL4ROB,Robert
DL4SAV,Raimund
DL4SXB,Magnus
DL4SZB,Peter
DL4TO,Gerhard
DL4WK,Wolf
DL4XU,Uwe
DL4YAR,Theo
DL4ZB,Manfred
DL4ZBY,Manfred
DL4ZF,Reiner
DL4ZM,Bernd
DL5AMF,Manfred
DL5ANE,Werner
DL5ANT,Ben
DL5AN,Thomas
DL5AWI,Gerhard
DL5AXJ,Bernd
DL5AYI,Lothar
DL5BAW,Rene
DL5BG,Rainer
DL5BRE,Klaus
DL5BTE,Uli
DL5CD,Werner
DL5CL,Ron
DL5CO,Kurt
DL5CX,Guenter
DL5DQZ,Frank
DL5DRM,Michael
DL5DTL,Peter
DL5DUB,Uwe
DL5DXS,Steffen
DL5EBG,Walter
DL5FAB,Manfred
DL5FBB,Rolf
DL5FU,Wolf
DL5IAH,Joerg
DL5JAB,Ronny
DL5JH,Knut
DL5JLC,Laszlo
DL5JQ,Erhard
DL5KM,Sven
DL5KUR,Adi
DL5KVV,Lutz
DL5LB,Giuseppe
DL5LCR,Michael
DL5LYM,Tom
DL5MAM,Karl
DL5MBX,Harry
DL5MCQ,Edgar
DL5MDU,Ernst
DL5MHR,Nikolaus
DL5ML,Torsten
DL5MO,Thomas
DL5OAB,Ben
DL5OE,Sven
DL5QK,Fred
DL5RDP,Bernhard
DL5RM,Hans
DL5SUA,Daniel
DL5SVB,Manfred
DL5WB,Ben
DL5WC,Wolfgang
DL5WF,Wolfgang
DL5WS,Hans-Juergen
DL5WW,Guenter
DL5XL,Felix
DL5XU,Matthias
DL5YCI,Michael
DL5YL,Christine (Tina)
DL5ZB,Kirt
DL5ZG,Juergen
DL5ZL,Klaus
DL6ABB,Michael
DL6AG,Wolfram
DL6AP,Andreas
DL6ATM,Wilfried
DL6AZI,Gerhard
DL6BBE,Mic
DL6BBT,Lutz
DL6BEN,Ben
DL6BE,Volkert
DL6BHS,Harm
DL6CGC,Peter
DL6CGK,Ingo
DL6CGX,Kurt
DL6CHF,Rainer
DL6CMK,Erhard
DL6COR,Wolfgang
DL6CWL,Wilfried
DL6DH,Henning
DL6DQI,Thomas
DL6DSA,Peter
DL6DVU,Volker
DL6FAX,Konrad
DL6FBK,Paul
DL6FWA,Ingo
DL6GCA,Armin
DL6HH,Sascha
DL6HRA,Frank
DL6HRW,Roland
DL6HTA,Karl-Heinz
DL6IP,Ingo
DL6JAN,Christian
DL6JCB,Erik
DL6JZ,Wolf
DL6KHW,Karl
DL6KR,Martin
DL6KVA,Axel
DL6KW,Lutz
DL6LAG,Guenter
DL6LBI,Ingo
DL6MKA,Bernd
DL6MLA,Rudolf
DL6MN,Manfred
DL6MOG,Bernd
DL6MPG,Uwe
DL6MRS,Ray
DL6MST,Klaus
DL6MVC,Klaus
DL6MWG,Harald
DL6NBS,Ben
DL6OAA,Joerg
DL6OI,Guenther
DL6RF,Gennadij
DL6SRD,Roland
DL6UGF,Eckhard
DL6UHA,Hans
DL6UKW,Wolfgang
DL6UM,Ulrich
DL6UNF,Frank
DL6USA,Horst
DL6WT,Juergen
DL6WT,Jürgen
DL6XAZ,Fred
DL6XX,Volker
DL6YAO,Peter
DL6YRA,Wolfgang
DL6YYM,Markus
DL7ACZ,Klaus
DL7ALM,Lars
DL7AOJ,Uwe
DL7AU,Holger
DL7AXM,Gerhard
DL7AXX,Viktor
DL7BC,Hartwig
DL7BQ,John
DL7CB,Wolfgang
DL7CO,Hans
DL7CX,Olaf
DL7DAX,Ernst
DL7DF,Sigi
DL7DG,Dieter
DL7DO,Ralf
DL7DZ,Alexander
DL7ET,Veit Steffen
DL7FA,Anne, Robert
DL7FEA,Silke
DL7FE,Stefan
DL7GAO,Uwe
DL7JAN,Jan
DL7JSM,Manfred
DL7KP,Michael
DL7LHA,Andreas
DL7MA,Klaus
DL7MFD,Dieter
DL7PA,Dieter
DL7RAG,Heinz
DL7RKK,Peter
DL7SX,Ruediger
DL7UAB,Ray
DL7UBA,Martin
DL7UCM,Hans-Matin
DL7UCW,Ben
DL7UEB,Eberhard
DL7UGN,Michael (Mike)
DL7UGO,Lutz
DL7UHY,Unkown om
DL7UIO,Frank
DL7UJM,Juergen
DL7UKA,Joachim
DL7UKT,Hans-Dieter
DL7UMW,Martin
DL7URB,Robert
DL7USW,Volkmar
DL7USY,Heinz
DL7UUA,Rainer
DL7UWR,Willy
DL7UXG,Klaus
DL7UYO,Rudolf
DL7VBJ,Bernd
DL7VEA,Axel
DL7VFM,Achim
DL7VJO,Heribert
DL7VKD,Dieter
DL7VMM,Peter
DL7VRG,Matthias
DL7VSY,Detlev
DL7YS,Peter
DL7YY,Joachim
DL8AAM,Thomas
DL8ARJ,Hans
DL8AWJ,Bernd
DL8AWK,Dieter
DL8BED,Dieter
DL8BFV,Sebastian (Seb)
DL8BH,Bernhard (Bernd)
DL8CO,Burkhard
DL8CWA,Juergen
DL8DBV,Herbert
DL8DBW,Thomas
DL8DL,Dieter
DL8DXA,Valentin
DL8DXL,Fred
DL8DXW,Thomas
DL8DZL,Klaus
DL8DZV,Kurt
DL8ECA,Florian
DL8FBH,Michael
DL8FL,Frank
DL8FQ,Rolf
DL8HGZ,Paul
DL8JJ,Emil
DL8JS,Hubert
DL8KUD,Dieter
DL8LSK,Klaus
DL8MBS,Chris
DL8MEK,Sebastian
DL8MEL,Gerhard
DL8MF,Immo
DL8MLD,Lutz
DL8NBG,Heinrich
DL8NBG,Heinrich (Henry)
DL8NCA,Peter
DL8NDG,Axel
DL8NGC,Grigorij
DL8OBN,Peter
DL8OC,Hans-Dieter
DL8OK,Harald
DL8QS,Heiko
DL8RBL,Alois
DL8RBR,Andreas
DL8RBS,Gerald
DL8RL,Axel
DL8SAO,Dietrich
DL8SCT,Norbert
DL8SDJ,Michael
DL8TG,Klaus-Dieter
DL8UAA,Wolfgang
DL8UBR,Bernd
DL8UE,Gerd
DL8UIL,Steffen
DL8ULO,Lothar
DL8UP,Herbert
DL8UVG,Volkhard
DL8UV,Klaus
DL8WE,Christof
DL8WEM,Volker
DL8WJM,Lars
DL8WKR,Knut
DL8WN,Mike
DL8XF,Edgar
DL8YRM,Reinhard
DL8YR,Peter
DL9BG,Heinrich
DL9CK,Martin
DL9CM,Rolf
DL9CW,Dietrich
DL9DK,Adolf
DL9DRL,Frank
DL9DST,Daniel
DL9DWR,Matthias
DL9EBF,Hans Peter
DL9FBF,Kurt
DL9GCG,Christian
DL9GDC,Franz
DL9GFB,Franz
DL9GMC,Eckhard
DL9JBN,Lothar
DL9KWA,Karl
DL9LBR,Bernd
DL9LM,Yuri
DL9MBI,Werner
DL9MDI,Manfred
DL9MDW,Christian
DL9MGE,Jan
DL9MKA,Ruediger
DL9MWG,Ralph
DL9NCR,Reiner
DL9NEI,Norbert
DL9NM,Karl
DL9OZ,Richard
DL9PI,Aenke
DL9RT,Peter
DL9SEP,Franz
DL9SXX,Hanno
DL9TX,Stefan
DL9UAA,Guenter
DL9UGF,Heinz
DL9UJF,Wolfgang
DL9UO,Michael (Mike)
DL9VK,Alexander
DL9YBY,Hubert
DL9ZEA,Horst
DL9ZHG,Michael
DL9ZOG,Jochen
DL9ZOG,Jochen (John)
DM0E,Contest Call DOK Y24
DM100CTK,Doc
DM1813LEI,Battle of Leipzig Memoria
DM1AA,Andre
DM1FS,Frank
DM1KA,Werner-josef
DM1KK,Kevin
DM1LC,Roman
DM1LE,Stephan
DM1PL,Peter
DM2BM,Burg
DM2DZM,Peter
DM2LI,Michael
DM2ORI,Michael
DM2XO,Rudolf
DM3AZ,Arcady
DM3CW,Steffen
DM3FAM,Marcel
DM3F,Contest Station
DM3FZN,Ulrich
DM3KC,Dennis
DM3KF,Horst
DM3MR,Markus
DM3SWD,Hans-Juergen
DM3VL,Peter
DM3W,DARC OV Cottbus
DM3WO,Guenter
DM3YBL,Sig
DM3YBN,Dieter
DM3ZM,Harald
DM4AF,Wolfgang
DM4DB,Karl-Heinz
DM4EA,Tom
DM4IM,Martin
DM4JA,Uwe
DM4JH,Jens
DM4KM,Manfred
DM4QX,G�nter
DM4SWL,G�nter
DM4TJ,Klaus
DM4WL,Dieter
DM5BB,Alexander
DM5JL,Jochen
DM5MM,Joerg (Joe)
DM5MR,Mike DLFF-0110
DM5MU,Andreas (Andy)
DM5WT,Gary
DM6EE,Lutz
DM6WAN,Steffen
DM7DX,Manfred
DM7MA,Gert
DM7N,Mario
DN1GM,Michael
DN5FA,Hans Konrad
DO1DJJ,Joerg
DO1GER,Gerhard
DO1KRT,Ralf
DO1UZ,Olaf
DO1WHA,Leo
DO2DAP,Danny
DO2HQS,Tom
DO2JX,Thorsten
DO4AT,Timo
DO4CE,Corinna
DO4JS,Hans
DO4MX,Sven
DO5OM,Oliver
DO5PAD,Patrick
DO7ASL,Alex
DO8GF,Klaus
DP3LUNA,Spec. Call
DQ0YOTA,Youngsters On The Air
DR1A,Contest Call
DR5T,Andy
DU1KA,Al
E70AA,Zoran
E70EK,Emir
E72U,Vedo
E73DPR,Radio klub Trebinje
E73DX,Mario
E73KW,Samir
E73SD,Mile
E74A,Edin
E74E,Enver
E74MM,Midhat
E74QR,Habib
E77AW,Josip
E77CW,Dusko (dule) 
E77DX,Braco
E77EA,Dragan
E77OA,Behdzed
E77O,Bob
E77Y,Maksim
E78CB,Srdjan
EA1AER,Juan
EA1ALP,Bernardo
EA1AOM,Jose Ramon
EA1AOQ,Chus
EA1ARW,Luis
EA1ATH,Alfonso
EA1AUM,Juan Carlos
EA1AV,Agustin
EA1AVX,Jose luis
EA1AXW,Oscar
EA1AZ,Ismael
EA1BL,Adolfo
EA1BNF,Manuel
EA1BP,Miguel
EA1BQR,Maria del Carmen
EA1BR,Joaquin Loredo
EA1CHC,Javier
EA1CVZ,Mike
EA1DA,Alberto
EA1DAL,Javier
EA1DFP,Quique
EA1DHB,Ricardo
EA1DMP,Miguel
EA1DRL,Ernesto
EA1DR,Oscar
EA1E,Manuel
EA1ER,Jesus
EA1EU,Javier
EA1FE,Luciano
EA1FIB,Unkown om
EA1FL,Eduardo
EA1GIB,Manuel (Manu) 
EA1GKP,Justo
EA1GMP,Alejandro
EA1GT,Federico
EA1GTX,Carlos
EA1HFS,Alberto
EA1HMT,Ignacio
EA1HWD,Carlos
EA1IDY,Jose Manuel
EA1IEH,Eloy
EA1ILU,Manuel
EA1IPN,Paco
EA1KC,Valentin
EA1LQ,Ernesto
EA1MX,Jose
EA1NL,Pablo
EA1NW,Jesus
EA1NY,Victor
EA1PC,Enrique
EA1QKP,Unkown om
EA1RCO,Radio Club Scout Oza
EA1SB,Marco
EA1SV,Juan-Manuel
EA1VM,Alfonso
EA1VT,Jose
EA1WH,David (Dave)
EA1XN,Elias
EA1XN,Elias (Eley)
EA1YN,Pep
EA1YY,Francisco
EA2ACE,no name
EA2AF,Robert
EA2AQM,Luiz
EA2BD,Ignacio
EA2BDS,Marcial
EA2BG,Carmelo
EA2BHK,Ric
EA2BRA,Ignacio
EA2BSB,Santi
EA2BV,Victor
EA2CAR,Enrique
EA2CE,Esteban
EA2CFZ,Hilario
EA2CHL,Jesus
EA2CIN,Albert
EA2CKX,Pedro
EA2CP,Carlos
EA2CQ,Ingio
EA2CRP,David
EA2CSC,Gotzon
EA2CW,Mikel
EA2CWM,Juan
EA2DCA,Alberto
EA2DFC,Inaki
EA2DMH,Juan
EA2DMX,Jorge
EA2DNO,Iratxe
EA2DPA,Raul
EA2DT,Manuel
EA2DXY,Robert
EA2DZX,Louis
EA2EA,Jose
EA2EBX,Cruz
EA2ECA,Joseba
EA2EC,Antonio
EA2EFI,Imanol
EA2EFI,Nol
EA2EHI,Iker
EA2EX,Patricio
EA2FBG,Miguel
EA2GM,Javier
EA2HW,Enio
EA2IF,Guru
EA2KB,Enry
EA2KV,Augustin
EA2LE,Franzisco
EA2LMI,Luis Miguel
EA2LU,Jorge Raul
EA2NA,German
EA2NN,Ivan
EA2OX,Salvador
EA2PI,Ban
EA2RY,Roberto
EA2TP,Jagoba
EA2TW,Jon
EA2WS,Ivan
EA2WX,Marcial
EA3AGB,Javier
EA3AHH,Pere
EA3AKA,Gabriel
EA3AKG,Joan
EA3APV,Luc
EA3APX,Manuel
EA3AVV,Ramon
EA3BDE,Salvador
EA3BEN,Jose
EA3BES,Josep
EA3BFX,Antonio
EA3BHK,Xavier
EA3BLL,Pere
EA3BN,Juan
EA3BP,Xavier (Xavi) 
EA3BSE,Magin
EA3BT,Josep
EA3BV,Jon
EA3BZ,Jordi
EA3CAZ,Josep
EA3CEC,Cesar
EA3CFV,Albert
EA3CLB,Jesus
EA3CV, Joaquin (Kin)
EA3CW,Antonio
EA3DFZ,Joan
EA3DN,Jorge (Jordi)
EA3DT,Alex
EA3EBJ,Salvador
EA3EGB,Manel
EA3ENB,Jo
EA3EVL,Pablo
EA3FYO,Joan
EA3GBQ,Josep
EA3GHZ,Joan Carles
EA3GIN,Raphael
EA3GP,Vicente
EA3GRW,Ruben
EA3HAB,Robert
EA3HIC,Alfonso
EA3HKY,Casiano
EA3HLM,Rosario (Chari)
EA3HP,Daniel
EA3HSD,Francesc
EA3HYH,Sergio
EA3HYJ,Augustin
EA3IM,Wolfgang
EA3IW,Albert
EA3KB,Ramon
EA3KN,Salvador
EA3KU,Fernando
EA3M,Roger
EA3NA,Marcel
EA3NJ,Juan
EA3NN,Dany
EA3PT,Jordi
EA3RKM,Radio Club
EA3RP,Roman
EA3VM,Clemente
EA3WL,Nuria
EA3X,Mia
EA3Y,Manel
EA4AAI,Gerardo
EA4AOC,David
EA4AYD,Emilio
EA4BMQ,Raul
EA4CP,Luis
EA4CQT,Virgilio
EA4CWN,Alfonso
EA4CZE,Jose Manuel
EA4DE,Estela mary
EA4DON,Alejandro
EA4DOS,Elena
EA4DUA,Gabriel
EA4ELC,Candino (candi)
EA4EP,Jesus
EA4EPY,Bruno
EA4ERF,Antonio
EA4ESP,Gonzalo
EA4FJX,Javier
EA4FL,Manuel
EA4FP,Sergio
EA4FRR,Santiago
EA4GGY,Fernado
EA4GJP,Angel
EA4GOK,Javier
EA4GRS,Eduardo
EA4GRZ,Alex
EA4GU,Manuel
EA4IF,Ignacio
EA4IG,Salva
EA4M,Ricardo (Rick)
EA4MY,Antonio
EA4MZ,Moises
EA4PN,Antonio
EA4R,Alfonso
EA4SE,Alvaro
EA4SG,David
EA4TA,Eduardo
EA4TE,Juan Lorenzo
EA4VQ,Erasto
EA4WT,Jose
EA4XF,Carlos
EA4YT,Luis
EA4ZK,Ricardo
EA5AER,Javier Gomez
EA5AFP,Vicente
EA5AJE,Alfonso
EA5AJX,Ricardo
EA5AOP,Fernado
EA5AQL,Miguel
EA5AQP,Matias
EA5AT,Jose
EA5BLP,Juan peiro
EA5BY,Antonio
EA5C,Fernando
EA5CI,Vicente
EA5CP,Dario
EA5DCL,Jose
EA5DKU,Javier
EA5DNO,Ramon
EA5DO,Manuel
EA5D,Ramon
EA5ER,Alejandro
EA5FJD,Juan
EA5FTE,Valerio
EA5FU,Ricardo
EA5FV,Dani
EA5GDW,Jordi
EA5GFE,Juan
EA5GIN,Antonio
EA5GMB,Miguel
EA5GUQ,Pedro
EA5GVE,Eduardo
EA5GVZ,Nando
EA5HDE,Juan Carlos
EA5HJY,Manolo
EA5HM,Pepe
EA5HPI,Jose Miguel
EA5HQJ,Jose
EA5HT,Jesus Moreno
EA5HWP,Luis
EA5HYU,Salvador
EA5IAX,Eduardo
EA5IFP,Tor
EA5IGL,Ramon
EA5IIQ,Francisco (Paco)
EA5INS,Jon
EA5ITW,Jose antonio
EA5JFD,no name
EA5JK,Ricardo Fernandez
EA5JN,Angel
EA5K,Miguel
EA5KV,Vic
EA5MA,Paco
EA5MAU,Mario
EA5M,Dani
EA5NR,Isidro
EA5RC,Ramon
EA5RJ,Jose
EA5SR,Angel
EA5TE,Manuel
EA5UB,Pepe
EA5UR,Hector
EA5W,Francisco
EA5WI,Jose
EA5WL,Erik
EA5WU,Pasqual
EA5XQ,Juan
EA5YI,Abelardo
EA5YU,Jose
EA5ZZ,Francisco
EA6AIF,Ricardo
EA6AIU,Pedro
EA6ALT,Ralph
EA6BB,Pedro
EA6GP,Toni
EA6IF,Ricardo
EA6KB,Lorenzo
EA6LU,Ricardo
EA6OM,Miguel
EA6TH,Miguel
EA6VQ,Gabriel
EA6ZR,Heinz
EA6ZS,Juan Manuel
EA7AAW,Emilio
EA7ACU,Gabriel
EA7AFO,Jose
EA7AH,Manuel
EA7AIN,Jose
EA7AJ,Juan carlo
EA7AJR,Manuel, HB9FPM
EA7A,Juan manuel
EA7ALL,Miguel
EA7BO,Luis
EA7EGU,Manuel
EA7FDW,John
EA7FWG,Luis
EA7GKN,Juan
EA7GTJ,Jose
EA7GV,Jose
EA7GVZ,Manuel
EA7HAA,Jose
EA7HGH,Roy
EA7HW,Antonio
EA7HY,Jose
EA7HYL,Jose Antonio
EA7IPP,Javier
EA7ITL,Sergio
EA7IZ,Carlos
EA7JBQ,Miguel
EA7JLC,Juan
EA7JUG,Gabriele
EA7JUK,Ian
EA7KC,Miguel Antonio
EA7KI,David
EA7PY,Jose
EA7SS,Jose
EA7ST,Andres (Andy)
EA7TG,Paco
EA7URS,Clubstation
EA7YT,Jose
EA8AA,Carlos
EA8AEW, Ulrich
EA8AF,Paco
EA8AH,Pekka
EA8AOC,Candido
EA8AP,Jesus manuel
EA8AQV,Marco
EA8AVK,Felix
EA8BUV,Harry
EA8BWY,Carlos
EA8CN,Andy
EA8CRX,Juan Jose
EA8CSB,Francisco
EA8CZG,Juan
EA8FO,Celso
EA8GP,Paco
EA8JK,Manuel
EA8OM,Heijo
EA8UP,Chano
EA8WH,Werner
EA8YV,Tom
EA9ABK,Mohamed
EA9CD,Jose Antonio
EA9E,Jose antonio
EB1BSV,Julio Cesar
EB1CAM,Pablo
EB1CU,Jose Antonio (Andoni)
EB1EB,no name
EB1EVX,Jorge
EB1IFK,Santiago
EB1RL,Inaki (aki) 
EB2AFU,Juan Carlos
EB2AOC,Javi
EB2CZF,Jose
EB2GKK,Inaki
EB2JU,Jose Luis
EB2NH,Juan Anton
EB3DYF,Jaume
EB3DYS,Jordi
EB3EPR,Esteve
EB3JT,Jordi
EB4HRA,Luis Alberto
EB5AG,Manolo
EB5CMJ,unknown om
EB5COJ,Miguel
EB5CS,Toni
EB5GC,Antonio
EB5RR,Raimundo
EB5YF,Juan
EB6UN,Oliver
EB7CIN,Manuel
EB7HQE,Jesus Perez
EC1AIJ,Victor
EC1AJL,Richard
EC1DD,Bernardo
EC2AG,Antonio
EC2DM,David
EC2DX,Imanol
EC2UV,Luis
EC3TW,Roger
EC5A,Luis
EC5KY,Jose
EC7AKV,Jose (fonsi)
EC7AT,Joaquin
EC7DZZ,Javier
EC7ZT,Manu
EC8ADS,Alfredo
ED5GMQ,Radioclub Lliria Letr
EF5F,Spanish contest call
EF5Y,Yuri
EF7X,Jose Ramon
EG25JRA,Jornadas Radioaficion Avi
EG2UNA,EA2 SOTA DAY
EI0CZ,Brendan
EI0MAR,Tony
EI2CL,Michael
EI2KD,Robert
EI3GYB,Michael
EI3HDB,Alan
EI3KA,John
EI3KE,Jim
EI4CN,Mike
EI4IZ,Mike
EI4JZ,Bronek
EI5CA,Tom
EI5DR,Edward
EI5HJ,Gary
EI6AN,Tony
EI6FR,Declan
EI6GA,Brendan
EI6IL,Don
EI7CC,Peter
EI7GEB,David
EI7JK,Dave
EI7KH,Marek
EI7KP,Victor
EI9GLB,Jim
EI9HQB,Paul
EI9JF,Nicky
EI9JU,Gerry
EJ7NET,Exped.
EK4JJ,Serge
EM200FT,Nikolay
EN150ITU,Serge
EN7JHF,Victor
ER1AC,Andrei
ER1FF,Alex
ER1KSC,Radioclub Simion Ciobanu
ER1KVC,Radioclub
ER1LW,Slawa
ER1LZ,Vladimir
ER3MM,Victor
ER5DX,Vic
ES0NW,Ivo
ES1BA,Slava
ES1IP,Raul
ES1OD,Vladimir
ES1QD,Vello
ES2APR,Peep
ES2RW,Bruno
ES4MM,Alex
ES4OJ,Marat
ES4RC,Ilmar
ES4SA,Nikolaj
ES5QA,Valeri
ES5QD,Vello
EU1AA,Valentin (Ben)
EU1DZ,Boris
EU1FY,Yuri
EU1KY,Yury
EU2AAO,Andrej
EU2BD,Unknown om
EU2MM,Vlad
EU3NA,Fed
EU4DX,Ivan
EU6DX,Boris
EU6KA,Alexandr
EU8R,Sergej
EV1R,Al
EW1AO,Eugene
EW1BA,Nick
EW1CY,Mihail
EW1HI,Alex
EW1HM,Mikhail
EW1IP,Igor
EW1RR,Alex
EW2A,Alex
EW2AR,Vladimir
EW2BO,Oleg
EW2BZ,Vitaly
EW2EO,Valera
EW2ES,Vladimir
EW2MA,Serge
EW2NXI,Unknown om
EW2QQ,Anton
EW3AB,Alexander
EW3LK,Eugene
EW4DW,Vitaly
EW4DX,Igor
EW6BQ,Victor
EW6BS,Nikolay
EW6DX,Igor
EW6EW,Peter
EW6FW,Sergej
EW6X,Yuri
EW7BR,Vladimir
EW7BW,Sergey
EW7LO,Vladimir
EW7TA,Anatoly
EW8BR,Tolia
EW8CY,Jim
EW8O,Mike
EX8M,Yuri
EX8VZ,Nurmat
EZ4BQ,Emir
EZ4TV,Bejn
EZ4Y,Vlad
F1AKD,Unknown om
F1BLL,Gerard
F1BLR,Jean-francois
F1SAL,Philippe
F1SKR,Richard
F1UMO,Jean-Pierre
F1VEV,Jacques
F2FZ,Philippe
F2IL,Jean-Marie
F2JD,Gerard
F2LG,Pierre
F2TB,Bernard
F2VAD,no name
F2XN,Tony
F2YT,Paul
F3CW,Alain
F3MB,Jean
F3TH,Henry
F3WC,Wilfrid
F4ADZ,Daniel
F4AVA,Bruno
F4BIT,Stephane
F4BSK,Roger
F4CSE,David
F4CTJ,Karim
F4CUO,Roland
F4CVQ,Vincent
F4DBD,Frederick
F4DIA,Andre
F4DTO,Franck
F4EGG,Thierry
F4EMK,Frederic
F4EMN,Eric
F4EPP,Sendy
F4ESK,Patrice
F4EYQ,Bastien
F4FBY,Bernhard
F4FCE,Thomas
F4FHV,Christophe
F4FJB,no name
F4FUB,Sebastien
F4FWI,Jean-luc
F4FWO,Sivan
F4GFE,Patrick
F4GFK,Gilles
F4GLD,Oliier
F4GLR,Danielle
F4GVB,Michael
F4GVZ,Marc
F4GYG,Sam FFF-0041
F4GYM,Fabien
F4HOD,Berbec
F4HPV,Michel
F4HRG,Gildas fff-0080
F4HRR, Fabien
F4HRZ,Guillaume
F4HSB,Laurent (Larry)
F4HXJ,Sebastien
F4HYT,Pascal
F4HZR,Micke
F4IDN,Thierry
F4IHL,Gerard
F4IHP,Loic
F4ILH,Jean baptiste
F4ILK,Bruno
F4IMK,Fabrice
F4IVC,Stephane
F4KJP,Radio club
F4PCM,Thierry
F4RO,Unknown om
F4TPV,Christian
F4TTR,Terry
F4UDY,Daniel
F4VPL,David
F4VPX,Filipe
F4VSR,Gil,
F4WBN,Christian
F5ABV,Patrick
F5AGB,Bruno
F5AKL,Andre
F5AKY,Jack
F5AQB,Jean-Marie
F5AQH,Andre
F5ARU,Alain
F5BMI,Guy
F5BTH,Alain
F5CAC,Chris
F5CH,Henri
F5CQ,Rafik
F5DMD,Jean
F5DUX,Ren
F5DZU,no name
F5EHH,no name
F5FDC,Romuald (romu) 
F5FL,Jean-louis
F5HB,Bern
F5HEW,Bernhard
F5HJK,Name unkown
F5HTR,Robert
F5IAE,Olivier
F5ICW,Gerard
F5IEP,Andre
F5IET,  gaston
F5IF,Maurice
F5ILH,Unknown OM
F5IL,Jean-Claude
F5IQA,Jean-Luc
F5IQJ,Daniel
F5IRC,Juan
F5IRO,Freddy
F5IUZ,Moise
F5IYJ,Philippe
F5IYU,Maurice
F5JBV,Francois
F5JFU,Pierre
F5JGA,Charles
F5JKK,Eric
F5JNE,Francois
F5JNF,Jean
F5JNT,Alain
F5JQP,Norbert
F5JSK,Louis
F5JVP,Didier
F5JY,Jacques
F5LBG,Bernard
F5LDY,Jean-Luc
F5LGF,Christian
F5LKW,Roger
F5LMI,Pierre
F5LMJ,Alain
F5LMK,Raymond
F5LML,Christian
F5LUX,Christian
F5LWF,Bernard
F5MAI,Nique
F5MCC,Jim
F5MCL,no name
F5MDY,Nicolas
F5MGS,Jean
F5MID,Jean-Claude
F5MJ,Jaques
F5MKD,Michael
F5MMB,Jaques
F5MNK,Laurent
F5MNO,Frederic
F5MQW,Patrick
F5MSB,Philippe
F5MVT,Josiane
F5MW,Ted
F5NEG,Phadi
F5NEP,Lionel
F5NEP,Lionel FFF-1412
F5NFN,Thierry
F5NHJ,Jean-Louis
F5NII,Marcel
F5NKX,Jean Jacques
F5NLG,Jean Philippe
F5NLX,Jean Marie
F5NLX,Jean-Marie
F5NPS,Denis
F5NTZ,Xavier
F5NWL,Nicolas (Nico)
F5NYZ,Patrick
F5NZY,Stephane
F5ODQ,Alain
F5OEV,Alain
F5OGJ,Laurent
F5OHH,Christian
F5OHV,Bernard
F5ONJ,Henri
F5OUD,Jacky
F5OUO,Gerard
F5PAL,Olivier
F5PBL,Claude
F5PLC,Michel
F5PLR,Didier
F5PPG,Michel
F5PSS,Patrick
F5PTA,Philippe
F5PVX,Michel
F5PZR,Eric
F5QF,Ftancis
F5RAB,Antoine
F5RDQ,no name
F5RGY,Eric
F5RKC,Herve
F5RMN,Dubois
F5RQG,Chris
F5RQP,Bruno
F5RWQ,Alois
F5SAV,Michel
F5SGI,Jean-marc
F5SQA,Daniel
F5SSI,Andre
F5TBE,Roger
F5TGW,Mario
F5TIL,Stefan
F5TMJ,Laurent (Leo)
F5TO,Bernard
F5TRB,Bernard
F5TRO,Philippe
F5TRW,Yves
F5TSB,Denis
F5TVG,Franck
F5TXA,Phillipe
F5UBH,Tof
F5UKL,Andre
F5UOW,Stef
F5UQE,Pascal
F5UQN,Franck
F5VGL,Jaakko
F5VKT,Ian
F5VLY,Adrian
F5VMN,Etor
F5XL,Jean-Pierre
F5ZN,Christian
F6ABG,Norbert
F6ABI,Michel
F6ACD,Pat
F6ACV,Jean Jacques
F6AEW,Claude
F6AJM,Jean-Pierre (Jean)
F6API,Gerard
F6ARL,Daniel
F6AVE,Andre
F6AXX,Norbert
F6BKD,Bernhard
F6BOL,Roger
F6BWO,Jean-Francois
F6BXQ,Marcel
F6BYZ,Robert
F6CBL,Andre
F6CEL,Ghislain
F6COW,Michel
F6COZ,Michel
F6CSO,Jean
F6CSQ,Philippe
F6CXJ,Pierre
F6DAY,Marc
F6DCQ,Pierre (Peter) 
F6DFI,Jacky
F6DKO,Didier
F6DLM,Jean-pierre
F6DRA,Serge
F6DTX,Patrice
F6DVH,Raymond
F6DVY,Pierre
F6DZS,Serge
F6EAH,Jean
